Index,Anomaly Type,Instance,Clusters
1,Cluster drift Anomaly,598,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.013, 'acceleration': 0.107}}"
2,Cluster drift Anomaly,1171,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.025, 'acceleration': 0.118}}"
3,Cluster drift Anomaly,1355,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.112, 'acceleration': 0.122}}"
4,Cluster drift Anomaly,1390,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.022, 'acceleration': 0.181}}"
5,Cluster drift Anomaly,1391,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.025, 'acceleration': 0.08}}"
6,Cluster drift Anomaly,1474,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.005, 'acceleration': 0.137}}"
7,Cluster drift Anomaly,1481,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.227, 'acceleration': 0.115}}"
8,Cluster drift Anomaly,1484,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.025, 'acceleration': 0.081}}"
9,Cluster drift Anomaly,1487,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.182, 'acceleration': 0.068}}"
10,Cluster drift Anomaly,1490,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.061, 'acceleration': 0.063}}"
11,Cluster drift Anomaly,1492,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.226, 'acceleration': 0.133}}"
12,Cluster drift Anomaly,1495,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.162, 'acceleration': 0.122}}"
13,Cluster drift Anomaly,1546,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.04, 'acceleration': 0.137}}"
14,Cluster drift Anomaly,1562,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.02, 'acceleration': 0.167}}"
15,Cluster drift Anomaly,1591,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.025, 'acceleration': 0.069}}"
16,Cluster drift Anomaly,1594,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.058, 'acceleration': 0.012}}"
17,Cluster drift Anomaly,1604,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.074, 'acceleration': 0.114}}"
18,Cluster drift Anomaly,1613,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.066, 'acceleration': 0.122}}"
19,Cluster drift Anomaly,1616,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.298, 'acceleration': 0.08}}"
20,Cluster drift Anomaly,1619,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.027, 'acceleration': 0.097}}"
21,Cluster drift Anomaly,1651,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.095, 'acceleration': 0.108}}"
22,Cluster drift Anomaly,1657,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.124, 'acceleration': 0.057}}"
23,Cluster drift Anomaly,1693,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.029, 'acceleration': 0.146}}"
24,Cluster drift Anomaly,1708,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.127, 'acceleration': 0.067}}"
25,Cluster drift Anomaly,1726,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.157, 'acceleration': 0.082}}"
26,Cluster drift Anomaly,1732,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.238, 'acceleration': 0.089}}"
27,Cluster drift Anomaly,1760,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.083, 'acceleration': 0.107}}"
28,Cluster drift Anomaly,1766,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.115, 'acceleration': 0.198}}"
29,Cluster drift Anomaly,1793,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.109, 'acceleration': 0.106}}"
30,Cluster drift Anomaly,1796,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.28, 'acceleration': 0.062}}"
31,Cluster drift Anomaly,1799,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.245, 'acceleration': 0.09}}"
32,Cluster drift Anomaly,1868,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.002, 'acceleration': 0.155}}"
33,Cluster drift Anomaly,1874,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.072, 'acceleration': 0.103}}"
34,Cluster drift Anomaly,1877,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.025, 'acceleration': 0.173}}"
35,Cluster drift Anomaly,1883,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.107, 'acceleration': 0.083}}"
36,Cluster drift Anomaly,1886,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.285, 'acceleration': 0.059}}"
37,Cluster drift Anomaly,1889,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.237, 'acceleration': 0.118}}"
38,Cluster drift Anomaly,1898,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.112, 'acceleration': 0.114}}"
39,Cluster drift Anomaly,1901,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.322, 'acceleration': 0.071}}"
40,Cluster drift Anomaly,1922,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.037, 'acceleration': 0.083}}"
41,Cluster drift Anomaly,1925,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.269, 'acceleration': 0.084}}"
42,Cluster drift Anomaly,1979,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.033, 'acceleration': 0.098}}"
43,Cluster drift Anomaly,1982,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.218, 'acceleration': 0.077}}"
44,Cluster drift Anomaly,1990,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.091, 'acceleration': 0.112}}"
